authorID,new_country_code,new_afftype,Coder,firstName,genderize,doi,gender_prediction,race_prediction,race
10.1093/jcmc/zmab007+1.0,US,Education,Michelle,Aparajita,female,10.1093/jcmc/zmab007,F,2.0,Asian
10.1093/hcr/hqaa009+1.0,PH,Education,Michelle,Yu,male,10.1093/hcr/hqaa009,M,2.0,Asian
10.1093/joc/jqaa041+2.0,US,Education,Michelle,Matthew,male,10.1093/joc/jqaa041,M,0.0,White
10.1093/joc/jqab023+4.0,US,Education,Michelle,Jiehua,female,10.1093/joc/jqab023,F,2.0,Asian
10.1093/joc/jqz052+37.0,NL,Education,Michelle,Claes,male,10.1093/joc/jqz052,M,0.0,White
10.1093/joc/jqab035+3.0,US,Education,Michelle,Graham,male,10.1093/joc/jqab035,M,0.0,White
10.1093/joc/jqab026+1.0,US,Education,Michelle,Lee,male,10.1093/joc/jqab026,F,0.0,White
10.1093/joc/jqz052+1.0,DE,Education,Michelle,Tobias,male,10.1093/joc/jqz052,M,0.0,White
10.1093/joc/jqab023+3.0,US,Education,Michelle,Lindsey,female,10.1093/joc/jqab023,F,0.0,White
10.1093/joc/jqab029+4.0,US,Education,Michelle,Julius,male,10.1093/joc/jqab029,M,1.0,Black
10.1093/ct/qtz024+3.0,US,Education,Michelle,Patrick,male,10.1093/ct/qtz024,M,0.0,White
10.1093/jcmc/zmab006+3.0,NL,Education,Michelle,João,male,10.1093/jcmc/zmab006,M,0.0,White
10.1093/hcr/hqab001+1.0,US,Education,Michelle,Paul,male,10.1093/hcr/hqab001,M,0.0,White
10.1093/joc/jqab008+1.0,CN,Education,Jeff,Hai,male,10.1093/joc/jqab008,M,2,Asian
10.1093/joc/jqab029+6.0,US,Education,Jeff,Yerina,female,10.1093/joc/jqab029,F,2,Asian
10.1093/joc/jqz052+22.0,DE,Education,Jeff,Sabine,female,10.1093/joc/jqz052,F,0,White
10.1093/joc/jqab021+2.0,IL,Education,Jeff,Rebecca,female,10.1093/joc/jqab021,F,0,White
